start_sec,end_sec,state,ui_key,scene_label
0.0,16.0,S0_OPENING,scene_00_opening_gate,시다 0: 빨폀 	9모닝
16.0,18.0,S0_DEGRADED,scene_00_opening_degraded,시다 0: 빨폀 깊기 (보\c7a5)
18.0,24.0,S1_HUNT,scene_01_possession_hunt,시다 1: \c0dd행-5f0출 라프
24.0,29.0,S1_RETRY,scene_01_retry,시다 1: \c7ac시도 라프
29.0,40.0,S2_NODE,scene_02_node_contest,시다 2: 개역 분척
40.0,46.0,S2_FLEEBACK,scene_02_fleeback,시다 2: 구점 복\c7a5
46.0,57.0,S3_BLOOM,scene_03_engagement_expand,시다 3: 교전 확장
57.0,64.0,S3_STAGGER,scene_03_stagger,시다 3: 헤 스테이치
64.0,88.0,S4_COMEBACK,scene_04_coming_back,시다 4: 기동 여름
88.0,108.0,S5_STORM,scene_05_storm_resistance,시다 5: 영주 반c10
108.0,122.0,S5_DESPAIR,scene_05_despair,시다 5: 절담 그로브
122.0,151.0,S6_APEX,scene_06_sovereign_apex,시다 6: 보스 정개
151.0,167.0,FAIL_PIVOT,scene_fail_pivot,시닜 0-7: 실패 플터
167.0,189.0,S7_RETURN,scene_07_return_persistence,시다 7: 그릴우러…

